date,buy_price,sell_price
2012-01-06,43200000.0,43500000.0
2012-01-07,43200000.0,43500000.0
2012-01-09,43050000.0,43350000.0
2012-01-10,43000000.0,43300000.0
2012-01-11,43300000.0,43600000.0
2012-01-12,43550000.0,43850000.0
2012-01-13,43450000.0,43750000.0
2012-01-14,43400000.0,43700000.0
2012-01-16,43200000.0,43500000.0
2012-01-17,43650000.0,43950000.0
2012-01-18,43550000.0,43850000.0
2012-01-19,43800000.0,44100000.0
2012-01-20,44250000.0,44550000.0
2012-01-21,44600000.0,44800000.0
2012-01-30,44700000.0,45000000.0
2012-01-31,45030000.0,45330000.0
2012-02-01,45100000.0,45400000.0
2012-02-02,45130000.0,45430000.0
2012-02-03,45100000.0,45400000.0
2012-02-04,44650000.0,44950000.0
2012-02-06,44550000.0,44850000.0
2012-02-07,44700000.0,44900000.0
2012-02-08,44850000.0,45050000.0
2012-02-09,44580000.0,44880000.0
2012-02-10,44450000.0,44750000.0
2012-02-11,44530000.0,44830000.0
2012-02-13,44620000.0,44820000.0
2012-02-14,44500000.0,44700000.0
2012-02-15,44600000.0,44800000.0
2012-02-16,44480000.0,44680000.0
2012-02-17,44550000.0,44750000.0
2012-02-18,44500000.0,44700000.0
2012-02-20,44550000.0,44750000.0
2012-02-21,44600000.0,44800000.0
2012-02-22,44700000.0,44900000.0
2012-02-23,45000000.0,45200000.0
2012-02-24,45090000.0,45240000.0
2012-02-25,44980000.0,45130000.0
2012-02-27,44930000.0,45130000.0
