date,usd_vnd_rate,interest_rate_state,interest_rate_market,interest_rate_spread,dxy_index,fed_rate,World_Price_USD_Ounce,World_Price_VND,Domestic_Premium
2025-05-06,25942.0,4.92,5.32,0.40000000000000036,99.23999786376953,4.5,3411.39990234375,106698260.24982819,16101739.75017181
2025-05-07,25948.0,4.92,5.32,0.40000000000000036,99.61000061035156,4.5,3381.39990234375,105784411.78958175,16415588.210418254
2025-05-08,25953.0,4.92,5.32,0.40000000000000036,100.63999938964844,4.5,3296.60009765625,103151389.94355696,19548610.056443036
2025-05-09,25959.0,4.92,5.32,0.40000000000000036,100.33999633789062,4.5,3335.39990234375,104389572.87819661,15610427.121803388
2025-05-10,25959.0,4.92,5.32,0.40000000000000036,100.33999633789062,4.5,3335.39990234375,104389572.87819661,17610427.121803388
2025-05-11,25959.0,4.92,5.32,0.40000000000000036,100.33999633789062,4.5,3335.39990234375,104389572.87819661,
2025-05-12,25952.0,4.92,5.32,0.40000000000000036,101.79000091552734,4.5,3220.0,100750672.73600002,20249327.263999984
2025-05-13,25960.0,4.92,5.32,0.40000000000000036,101.0,4.5,3240.300048828125,101417094.89045557,18082905.109544426
2025-05-14,25951.0,4.92,5.32,0.40000000000000036,101.04000091552734,4.5,3181.39990234375,99539077.51395853,20460922.48604147
2025-05-15,25924.0,4.92,5.32,0.40000000000000036,100.87999725341797,4.5,3220.699951171875,100663848.49528375,18736151.504716247
2025-05-16,25920.0,4.92,5.32,0.40000000000000036,101.08999633789062,4.5,3182.0,99438925.53600001,21361074.463999987
2025-05-17,25920.0,4.92,5.32,0.40000000000000036,101.08999633789062,4.5,3182.0,99438925.53600001,19061074.463999987
2025-05-18,25920.0,4.92,5.32,0.40000000000000036,101.08999633789062,4.5,3182.0,99438925.53600001,
2025-05-19,25917.0,4.92,5.32,0.40000000000000036,100.43000030517578,4.5,3228.89990234375,100892889.72589667,18407110.27410333
2025-05-20,25932.0,4.92,5.32,0.40000000000000036,100.12000274658203,4.5,3280.300048828125,102558304.82534723,16741695.17465277
2025-05-21,25950.0,4.92,5.32,0.40000000000000036,99.55999755859375,4.5,3309.300048828125,103536804.82041688,16963195.179583117
2025-05-22,25950.0,4.92,5.32,0.40000000000000036,99.95999908447266,4.5,3292.300048828125,103004932.32291688,18295067.67708312
