datetime,fed_rate,fed_change_pct
2026-02-12 08:12:13.892,3.75,0
2026-02-12 08:20:34.619,3.75,0
2026-02-12 09:02:12.265,3.75,0
2026-02-12 09:36:53.137,3.75,0
2026-02-12 10:14:18.626,3.75,0
2026-02-12 10:41:01.107,3.75,0
2026-02-12 11:10:58.338,3.75,0
2026-02-12 11:24:11.087,3.75,0
2026-02-12 11:58:29.785,3.75,0
2026-02-12 12:44:08.885,3.75,0
2026-02-12 13:09:59.883,3.75,0
2026-02-12 13:44:25.830,3.75,0
2026-02-12 14:03:01.326,3.75,0
2026-02-12 14:07:27.514,3.75,0
2026-02-12 14:20:23.342,3.75,0
2026-02-12 14:46:36.811,3.75,0
2026-02-12 15:18:13.453,3.75,0
2026-02-12 15:19:57.395,3.75,0
2026-02-12 15:41:57.284,3.75,0
2026-02-12 15:59:14.112,3.75,0
2026-02-12 16:35:30.610,3.75,0
2026-02-12 17:15:36.845,3.75,0
2026-02-12 17:39:01.643,3.75,0
2026-02-12 17:50:28.281,3.75,0
2026-02-12 18:17:01.291,3.75,0
2026-02-12 19:12:07.432,3.75,0
2026-02-12 19:20:01.258,3.75,0
2026-02-12 20:00:33.764,3.75,0
2026-02-12 20:28:32.823,3.75,0
2026-02-12 21:15:33.637,3.75,0
2026-02-12 21:17:18.810,3.75,0
2026-02-12 21:48:39.206,3.75,0
2026-02-12 22:44:09.924,3.75,0
2026-02-12 22:52:41.798,3.75,0
2026-02-12 23:22:54.353,3.75,0
2026-02-13 00:09:06.383,3.75,0
2026-02-13 00:30:18.742,3.75,0
2026-02-13 00:47:06.948,3.75,0
2026-02-13 01:19:09.237,3.75,0
2026-02-13 02:13:19.227,3.75,0
2026-02-13 02:23:08.907,3.75,0
2026-02-13 02:54:48.466,3.75,0
2026-02-13 03:31:46.799,3.75,0
2026-02-13 04:14:03.132,3.75,0
2026-02-13 04:39:24.337,3.75,0
2026-02-13 04:48:59.199,3.75,0
2026-02-13 05:32:18.912,3.75,0
2026-02-13 06:09:21.296,3.75,0
2026-02-13 06:19:03.473,3.75,0
2026-02-13 07:09:05.778,3.75,0
2026-02-13 07:34:37.511,3.75,0
2026-02-13 07:57:53.549,3.75,0
2026-02-13 08:28:44.568,3.75,0
2026-02-13 09:13:25.919,3.75,0
2026-02-13 09:25:05.972,3.75,0
2026-02-13 09:52:06.382,3.75,0
2026-02-13 10:41:23.170,3.75,0
2026-02-13 11:11:27.442,3.75,0
2026-02-13 11:20:37.674,3.75,0
2026-02-13 11:55:07.376,3.75,0
2026-02-13 12:20:13.913,3.75,0
2026-02-13 12:56:20.004,3.75,0
2026-02-13 13:27:52.923,3.75,0
2026-02-13 14:05:00.284,3.75,0
2026-02-13 14:19:29.753,3.75,0
2026-02-13 14:50:16.021,3.75,0
2026-02-13 15:42:22.854,3.75,0
2026-02-13 16:08:09.068,3.75,0
2026-02-13 16:20:20.426,3.75,0
2026-02-13 16:52:58.393,3.75,0
2026-02-13 17:35:38.095,3.75,0
2026-02-13 18:07:54.465,3.75,0
2026-02-13 18:39:12.552,3.75,0
2026-02-13 19:01:29.765,3.75,0
2026-02-13 19:38:37.655,3.75,0
