datetime,usd_vnd_rate,usd_change_pct
2026-02-16 21:01:31.530,25804.25,0.0
2026-02-16 21:23:54.137,25804.25,0.0
2026-02-16 22:14:14.640,25804.25,0.0
2026-02-16 22:41:23.789,25804.25,0.0
2026-02-16 23:11:51.183,25804.25,0.0
2026-02-16 23:27:47.888,25804.25,0.0
2026-02-16 23:48:42.189,25804.25,0.0
2026-02-17 00:43:15.580,25804.25,0.0
2026-02-17 01:10:00.133,25804.25,0.0
2026-02-17 01:16:30.360,25804.25,0.0
2026-02-17 01:56:54.454,25804.25,0.0
2026-02-17 02:44:38.724,25804.25,0.0
2026-02-17 02:57:20.775,25804.25,0.0
2026-02-17 03:25:10.475,25804.25,0.0
2026-02-17 04:05:50.407,25804.25,0.0
2026-02-17 04:21:07.201,25804.25,0.0
2026-02-17 04:55:42.973,25804.25,0.0
2026-02-17 05:37:09.590,25804.25,0.0
2026-02-17 06:13:41.615,25804.25,0.0
2026-02-17 06:43:39.831,25804.25,0.0
2026-02-17 07:06:20.365,25804.25,0.0
2026-02-17 07:34:29.256,25804.25,0.0
2026-02-17 07:56:24.203,25804.25,0.0
2026-02-17 08:29:46.338,25917.51,0.43892
2026-02-17 08:59:20.776,25917.51,0.0
2026-02-17 09:29:09.146,25917.51,0.0
2026-02-17 09:47:02.293,25917.51,0.0
2026-02-17 10:29:59.821,25917.51,0.0
2026-02-17 11:13:33.264,25917.51,0.0
2026-02-17 11:45:02.344,25917.51,0.0
2026-02-17 11:55:31.486,25917.51,0.0
2026-02-17 12:38:14.625,25917.51,0.0
2026-02-17 13:08:22.125,25917.51,0.0
2026-02-17 13:25:38.477,25917.51,0.0
2026-02-17 14:09:16.357,25917.51,0.0
2026-02-17 14:35:54.347,25917.51,0.0
2026-02-17 15:05:07.896,25917.51,0.0
2026-02-17 15:43:31.454,25917.51,0.0
2026-02-17 16:04:26.737,25917.51,0.0
2026-02-17 16:36:40.725,25917.51,0.0
2026-02-17 17:12:06.810,25917.51,0.0
2026-02-17 17:32:25.129,25917.51,0.0
2026-02-17 17:48:00.154,25917.51,0.0
2026-02-17 18:33:50.515,25917.51,0.0
2026-02-17 18:50:48.472,25917.51,0.0
